Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Source,EID
"Bak Y., Nah Y., Han S., Lee S.-K., Kim J., Shin N.-Y.","57192089738;57201212182;55487826100;26651839600;57207436662;56363572300;","Neural correlates of empathy for babies in postpartum women: A longitudinal study",2021,"Human Brain Mapping","42","10",,"3295","3304",,2,"10.1002/hbm.25435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105064830&doi=10.1002%2fhbm.25435&partnerID=40&md5=2b068c9fca86e74bc11382fd130f65f0","Department of Radiology, College of Medicine, The Catholic University of Korea, Seoul, South Korea; Department of Psychology, Yonsei University, Seoul, South Korea; Department of Radiology, Yonsei University College of Medicine, Seoul, South Korea; Department of Computational Mathematics Science and Engineering, Michigan State University, East Lansing, MI, United States","Bak, Y., Department of Radiology, College of Medicine, The Catholic University of Korea, Seoul, South Korea; Nah, Y., Department of Psychology, Yonsei University, Seoul, South Korea; Han, S., Department of Psychology, Yonsei University, Seoul, South Korea; Lee, S.-K., Department of Radiology, Yonsei University College of Medicine, Seoul, South Korea; Kim, J., Department of Computational Mathematics Science and Engineering, Michigan State University, East Lansing, MI, United States; Shin, N.-Y., Department of Radiology, College of Medicine, The Catholic University of Korea, Seoul, South Korea","empathy; fMRI; mentalizing; middle cingulate cortex; posterior cingulate cortex; postpartum","adult; amygdala; Article; brain scintiscanning; cingulate gyrus; controlled study; empathy; female; follow up; frontal gyrus; functional magnetic resonance imaging; hemodynamics; human; lateral prefrontal cortex; longitudinal study; major clinical study; mentalization; middle frontal gyrus; middle temporal gyrus; nerve potential; neuroimaging; newborn; pain; posterior cingulate; prospective memory; puerperium; putamen; reasoning; superior temporal gyrus; theory of mind; brain mapping; diagnostic imaging; empathy; nuclear magnetic resonance imaging; pattern recognition; physiology; prefrontal cortex; puerperium; young adult; Adult; Brain Mapping; Empathy; Female; Gyrus Cinguli; Humans; Longitudinal Studies; Magnetic Resonance Imaging; Mentalization; Pattern Recognition, Visual; Postpartum Period; Prefrontal Cortex; Young Adult",Article,Scopus,2-s2.0-85105064830
"Borbás R., Fehlbaum L.V., Rudin U., Stadler C., Raschle N.M.","57222306107;56922124800;57223318043;7004708853;35093179700;","Neural correlates of theory of mind in children and adults using CAToon: Introducing an open-source child-friendly neuroimaging task",2021,"Developmental Cognitive Neuroscience","49",,"100959","","",,2,"10.1016/j.dcn.2021.100959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105603206&doi=10.1016%2fj.dcn.2021.100959&partnerID=40&md5=850f96bb087ee7e7ab87890123b09370","Jacobs Center for Productive Youth Development at the University of Zurich, Zurich, Switzerland; Department of Child and Adolescent Psychiatry, University of Basel, University Psychiatric Clinics Basel, Basel, Switzerland","Borbás, R., Jacobs Center for Productive Youth Development at the University of Zurich, Zurich, Switzerland, Department of Child and Adolescent Psychiatry, University of Basel, University Psychiatric Clinics Basel, Basel, Switzerland; Fehlbaum, L.V., Jacobs Center for Productive Youth Development at the University of Zurich, Zurich, Switzerland, Department of Child and Adolescent Psychiatry, University of Basel, University Psychiatric Clinics Basel, Basel, Switzerland; Rudin, U., Department of Child and Adolescent Psychiatry, University of Basel, University Psychiatric Clinics Basel, Basel, Switzerland; Stadler, C., Department of Child and Adolescent Psychiatry, University of Basel, University Psychiatric Clinics Basel, Basel, Switzerland; Raschle, N.M., Jacobs Center for Productive Youth Development at the University of Zurich, Zurich, Switzerland, Department of Child and Adolescent Psychiatry, University of Basel, University Psychiatric Clinics Basel, Basel, Switzerland","Childhood; Development; fMRI; Mentalizing; Neuroimaging; Theory of mind","adult; art; article; brain region; child; childhood; female; functional magnetic resonance imaging; human; human experiment; major clinical study; male; mentalization; neuroimaging; neuroscience; orbital cortex; precuneus; temporal gyrus; temporoparietal junction; theory of mind; young adult; brain; brain mapping; diagnostic imaging; neuroimaging; nuclear magnetic resonance imaging; preschool child; Adult; Brain; Brain Mapping; Child; Child, Preschool; Humans; Magnetic Resonance Imaging; Neuroimaging; Theory of Mind",Article,Scopus,2-s2.0-85105603206
"De Coninck S., Aben B., Van den Bussche E., Mariën P., Van Overwalle F.","57078928500;55376750800;8592036900;56116014800;6701738504;","Embodying Stressful Events: No Difference in Subjective Arousal and Neural Correlates Related to Immersion, Interoception, and Embodied Mentalization",2021,"Frontiers in Behavioral Neuroscience","15",,"640482","","",,,"10.3389/fnbeh.2021.640482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107208426&doi=10.3389%2ffnbeh.2021.640482&partnerID=40&md5=60d682aa7024072f444193fdd5f76998","Faculty of Psychology and Educational Sciences, Brain, Body and Cognition and Center of Neuroscience, Vrije Universiteit Brussel, Brussels, Belgium; Research Units Sustainable Resources, Smart Organizations and Inclusive Society, University College Leuven Limburg, Diepenbeek, Belgium; Faculty of Psychology and Educational Sciences, Brain and Cognition, KU Leuven, Leuven, Belgium; Department of Experimental Psychology, Ghent University, Ghent, Belgium; Faculty of Language and Literature, Centre for Linguistics, Vrije Universiteit Brussel, Brussels, Belgium","De Coninck, S., Faculty of Psychology and Educational Sciences, Brain, Body and Cognition and Center of Neuroscience, Vrije Universiteit Brussel, Brussels, Belgium, Research Units Sustainable Resources, Smart Organizations and Inclusive Society, University College Leuven Limburg, Diepenbeek, Belgium; Aben, B., Faculty of Psychology and Educational Sciences, Brain and Cognition, KU Leuven, Leuven, Belgium, Department of Experimental Psychology, Ghent University, Ghent, Belgium; Van den Bussche, E., Faculty of Psychology and Educational Sciences, Brain and Cognition, KU Leuven, Leuven, Belgium; Mariën, P., Faculty of Language and Literature, Centre for Linguistics, Vrije Universiteit Brussel, Brussels, Belgium; Van Overwalle, F., Faculty of Psychology and Educational Sciences, Brain, Body and Cognition and Center of Neuroscience, Vrije Universiteit Brussel, Brussels, Belgium","embodiment; immersion; interoception; mentalization; self-referential repetitive thought","adult; arousal; article; controlled study; default mode network; female; functional magnetic resonance imaging; human; human experiment; immersion; interoception; male; mentalization",Article,Scopus,2-s2.0-85107208426
"Zhen S., Yu R.","36906163600;14631244100;","Neural correlates of recursive thinking during interpersonal strategic interactions",2021,"Human Brain Mapping","42","7",,"2128","2146",,3,"10.1002/hbm.25355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099799651&doi=10.1002%2fhbm.25355&partnerID=40&md5=cdd2226099eff6710ecf8185b93ae78d","Department of Psychology, National University of Singapore, Singapore, Singapore; Department of Management, School of Business, Hong Kong Baptist University, Hong Kong; Department of Sport, Physical Education and Health, Faculty of Social Sciences, Hong Kong Baptist University, Hong Kong; Department of Physics, Faculty of Science, Hong Kong Baptist University, Hong Kong","Zhen, S., Department of Psychology, National University of Singapore, Singapore, Singapore; Yu, R., Department of Management, School of Business, Hong Kong Baptist University, Hong Kong, Department of Sport, Physical Education and Health, Faculty of Social Sciences, Hong Kong Baptist University, Hong Kong, Department of Physics, Faculty of Science, Hong Kong Baptist University, Hong Kong","game theory; neuroimaging; recursive reasoning; sequential-move game; strategic thinking; theory of mind","article; controlled study; decision making; dorsomedial prefrontal cortex; functional connectivity; functional magnetic resonance imaging; game; hippocampus; human; human experiment; insula; mentalization; neuroimaging; reasoning; theory of mind; ventral striatum; adult; connectome; diagnostic imaging; female; human relation; individuality; male; nuclear magnetic resonance imaging; perception; physiology; prefrontal cortex; theory of mind; thinking; young adult; Adult; Connectome; Female; Hippocampus; Humans; Individuality; Insular Cortex; Interpersonal Relations; Magnetic Resonance Imaging; Male; Mentalization; Prefrontal Cortex; Social Perception; Theory of Mind; Thinking; Ventral Striatum; Young Adult",Article,Scopus,2-s2.0-85099799651
"Morawetz C., Berboth S., Bode S.","6603562268;57218100342;36460609200;","With a little help from my friends: The effect of social proximity on emotion regulation-related brain activity",2021,"NeuroImage","230",,"117817","","",,6,"10.1016/j.neuroimage.2021.117817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100389930&doi=10.1016%2fj.neuroimage.2021.117817&partnerID=40&md5=1c6aca3f86c20910d504e1a474c5d686","Department of Education and Psychology, Freie Universität Berlin, Germany; Center for Cognitive Neuroscience Berlin, Freie Universität Berlin, Germany; Institute of Psychology, University of Innsbruck, Innrain 52f, Innsbruck, 6020, Austria; Melbourne School of Psychological Sciences, The University of Melbourne, Australia","Morawetz, C., Department of Education and Psychology, Freie Universität Berlin, Germany, Center for Cognitive Neuroscience Berlin, Freie Universität Berlin, Germany, Institute of Psychology, University of Innsbruck, Innrain 52f, Innsbruck, 6020, Austria; Berboth, S., Department of Education and Psychology, Freie Universität Berlin, Germany, Center for Cognitive Neuroscience Berlin, Freie Universität Berlin, Germany; Bode, S., Melbourne School of Psychological Sciences, The University of Melbourne, Australia","Amygdala; Functional magnetic resonance imaging; Interpersonal emotion regulation; Reappraisal; Social proximity; Social support","adult; amygdala; article; controlled study; emotion regulation; executive function; female; friend; functional magnetic resonance imaging; human; human experiment; intimacy; male; mentalization; nerve cell network; prefrontal cortex; social cognition; social support; brain; diagnostic imaging; friend; nuclear magnetic resonance imaging; photostimulation; physiology; pilot study; procedures; psychology; social interaction; young adult; Adult; Brain; Emotional Regulation; Female; Friends; Humans; Magnetic Resonance Imaging; Male; Photic Stimulation; Pilot Projects; Social Interaction; Young Adult",Article,Scopus,2-s2.0-85100389930
"Kilroy E., Harrison L., Butera C., Jayashankar A., Cermak S., Kaplan J., Williams M., Haranin E., Bookheimer S., Dapretto M., Aziz-Zadeh L.","54408618000;57205671221;57216486262;57205266895;7005606346;8920820000;16424170500;53874906600;7006583787;6602424457;6505929502;","Unique deficit in embodied simulation in autism: An fMRI study comparing autism and developmental coordination disorder",2021,"Human Brain Mapping","42","5",,"1532","1546",,3,"10.1002/hbm.25312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097560484&doi=10.1002%2fhbm.25312&partnerID=40&md5=777e4f0c83fcd606210ef4b1e74285e9","USC Mrs. T.H. Chan Division of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, CA, United States; Brain and Creativity Institute, Dornsife College of Letters, Arts and Sciences, University of Southern California, Los Angeles, CA, United States; USC University Center for Excellence in Developmental Disabilities, Children's Hospital Los Angeles, Los Angeles, CA, United States; Department of Psychiatry and Biobehavioral Sciences, University of California Los Angeles, Los Angeles, CA, United States; Ahmanson-Lovelace Brain Mapping Center, University of California Los Angeles, Los Angeles, CA, United States","Kilroy, E., USC Mrs. T.H. Chan Division of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, CA, United States, Brain and Creativity Institute, Dornsife College of Letters, Arts and Sciences, University of Southern California, Los Angeles, CA, United States; Harrison, L., USC Mrs. T.H. Chan Division of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, CA, United States, Brain and Creativity Institute, Dornsife College of Letters, Arts and Sciences, University of Southern California, Los Angeles, CA, United States; Butera, C., USC Mrs. T.H. Chan Division of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, CA, United States, Brain and Creativity Institute, Dornsife College of Letters, Arts and Sciences, University of Southern California, Los Angeles, CA, United States; Jayashankar, A., USC Mrs. T.H. Chan Division of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, CA, United States, Brain and Creativity Institute, Dornsife College of Letters, Arts and Sciences, University of Southern California, Los Angeles, CA, United States; Cermak, S., USC Mrs. T.H. Chan Division of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, CA, United States; Kaplan, J., Brain and Creativity Institute, Dornsife College of Letters, Arts and Sciences, University of Southern California, Los Angeles, CA, United States; Williams, M., USC University Center for Excellence in Developmental Disabilities, Children's Hospital Los Angeles, Los Angeles, CA, United States; Haranin, E., USC University Center for Excellence in Developmental Disabilities, Children's Hospital Los Angeles, Los Angeles, CA, United States; Bookheimer, S., Department of Psychiatry and Biobehavioral Sciences, University of California Los Angeles, Los Angeles, CA, United States; Dapretto, M., Department of Psychiatry and Biobehavioral Sciences, University of California Los Angeles, Los Angeles, CA, United States, Ahmanson-Lovelace Brain Mapping Center, University of California Los Angeles, Los Angeles, CA, United States; Aziz-Zadeh, L., USC Mrs. T.H. Chan Division of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, CA, United States, Brain and Creativity Institute, Dornsife College of Letters, Arts and Sciences, University of Southern California, Los Angeles, CA, United States","action imitation; dyspraxia; functional magnetic resonance imaging; mentalizing; mirror neuron system","Article; attention deficit disorder; autism; Autism Diagnostic Observation Schedule; brain region; brain tissue; child; clinical article; controlled study; developmental coordination disorder; dorsomedial prefrontal cortex; echo planar imaging; electroencephalogram; excitation; facial expression; female; first-degree relative; frontal gyrus; functional magnetic resonance imaging; functional neuroimaging; generalized anxiety disorder; head movement; hemodynamics; human; intelligence quotient; male; mentalization; middle frontal gyrus; mirror neuron system; motor dysfunction; motor performance; Movement Assessment Battery for Children; neurologic disease; pars opercularis; pars triangularis; premotor cortex; priority journal; school child; social competence; social disability; social status; superior frontal gyrus; theory of mind; adolescent; autism; brain mapping; comparative study; diagnostic imaging; imitation; motor activity; nuclear magnetic resonance imaging; pathophysiology; perception; physiology; prefrontal cortex; psychomotor disorder; Adolescent; Autism Spectrum Disorder; Brain Mapping; Child; Female; Humans; Imitative Behavior; Magnetic Resonance Imaging; Male; Mentalization; Motor Activity; Motor Skills Disorders; Prefrontal Cortex; Social Perception",Article,Scopus,2-s2.0-85097560484
"Hildebrandt M.K., Jauk E., Lehmann K., Maliske L., Kanske P.","57215187537;55087422900;57195740407;57217783167;16230609600;","Brain activation during social cognition predicts everyday perspective-taking: A combined fMRI and ecological momentary assessment study of the social brain",2021,"NeuroImage","227",,"117624","","",,7,"10.1016/j.neuroimage.2020.117624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098129533&doi=10.1016%2fj.neuroimage.2020.117624&partnerID=40&md5=b30ea295f5e38d7b807aa021e7c80bce","Institute of Clinical Psychology and Psychotherapy, Department of Psychology, Technische Universität Dresden, Dresden, Germany; Department of Psychology, University of Graz, Graz, Austria; Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstraße 1A, Leipzig, 04103, Germany","Hildebrandt, M.K., Institute of Clinical Psychology and Psychotherapy, Department of Psychology, Technische Universität Dresden, Dresden, Germany; Jauk, E., Institute of Clinical Psychology and Psychotherapy, Department of Psychology, Technische Universität Dresden, Dresden, Germany, Department of Psychology, University of Graz, Graz, Austria; Lehmann, K., Institute of Clinical Psychology and Psychotherapy, Department of Psychology, Technische Universität Dresden, Dresden, Germany; Maliske, L., Institute of Clinical Psychology and Psychotherapy, Department of Psychology, Technische Universität Dresden, Dresden, Germany; Kanske, P., Institute of Clinical Psychology and Psychotherapy, Department of Psychology, Technische Universität Dresden, Dresden, Germany, Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstraße 1A, Leipzig, 04103, Germany","Ecological momentary assessment; Ecological validity; Empathy; fMRI; Mentalizing; Theory of mind","article; ecological momentary assessment; ecological validity; empathy; functional magnetic resonance imaging; human; human experiment; major clinical study; medial prefrontal cortex; mentalization; self report; social cognition; social interaction; theory of mind; videorecording; adolescent; adult; brain; diagnostic imaging; ecological momentary assessment; empathy; female; male; middle aged; nuclear magnetic resonance imaging; physiology; social behavior; theory of mind; young adult; Adolescent; Adult; Brain; Ecological Momentary Assessment; Empathy; Female; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Social Behavior; Social Cognition; Theory of Mind; Young Adult",Article,Scopus,2-s2.0-85098129533
"Arioli M., Basso G., Carne I., Poggi P., Canessa N.","57200574723;7007045817;55866653600;57204019018;24334215800;","Increased pSTS activity and decreased pSTS-mPFC connectivity when processing negative social interactions",2021,"Behavioural Brain Research","399",,"113027","","",,3,"10.1016/j.bbr.2020.113027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096988145&doi=10.1016%2fj.bbr.2020.113027&partnerID=40&md5=104040ddfd887e506b9b3cd94db4d2e1","Scuola Universitaria Superiore IUSS, Pavia, 27100, Italy; Cognitive Neuroscience Laboratory, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; University of Milano-Bicocca, Milan, 20126, Italy; Medical Physics Unit, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Radiology Unit, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy","Arioli, M., Scuola Universitaria Superiore IUSS, Pavia, 27100, Italy, Cognitive Neuroscience Laboratory, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Basso, G., University of Milano-Bicocca, Milan, 20126, Italy; Carne, I., Medical Physics Unit, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Poggi, P., Radiology Unit, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Canessa, N., Scuola Universitaria Superiore IUSS, Pavia, 27100, Italy, Cognitive Neuroscience Laboratory, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy","fMRI; Medial prefrontal cortex; Negative emotions; pSTS; Social cognition rehabilitation; Social interactions","adult; affect; Article; competition; conflict; controlled study; cooperation; female; functional connectivity; functional magnetic resonance imaging; functional neuroimaging; human; human experiment; male; medial prefrontal cortex; mentalization; normal human; posterior superior temporal sulcus; priority journal; right hemisphere; social cognition; social interaction; superior temporal sulcus; temporoparietal junction; brain mapping; diagnostic imaging; emotion; nuclear magnetic resonance imaging; perception; physiology; prefrontal cortex; social behavior; temporal lobe; vision; young adult; Adult; Brain Mapping; Emotions; Female; Humans; Magnetic Resonance Imaging; Male; Mentalization; Prefrontal Cortex; Social Behavior; Social Interaction; Social Perception; Temporal Lobe; Visual Perception; Young Adult",Article,Scopus,2-s2.0-85096988145
"Taruffi L., Skouras S., Pehrs C., Koelsch S.","56394445400;55761697000;55589497800;7003503324;","Trait Empathy Shapes Neural Responses Toward Sad Music",2021,"Cognitive, Affective and Behavioral Neuroscience","21","1",,"231","241",,4,"10.3758/s13415-020-00861-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099642873&doi=10.3758%2fs13415-020-00861-x&partnerID=40&md5=9685faa9fd296c652e6b2a57db6c7ab9","Department of Music, Durham University, Durham, United Kingdom; Department of Biological and Medical Psychology, University of Bergen, Bergen, Norway; Bernstein Center for Computational Neuroscience, Charité – Universitätsmedizin, Berlin, Germany","Taruffi, L., Department of Music, Durham University, Durham, United Kingdom; Skouras, S., Department of Biological and Medical Psychology, University of Bergen, Bergen, Norway; Pehrs, C., Bernstein Center for Computational Neuroscience, Charité – Universitätsmedizin, Berlin, Germany; Koelsch, S., Department of Biological and Medical Psychology, University of Bergen, Bergen, Norway","fMRI; Music & emotion; Sad music; Social neuroscience; Trait empathy","adult; article; brain region; cerebellum; claustrum; clinical article; controlled study; dorsomedial prefrontal cortex; eigenvector centrality; empathy; female; functional connectivity; functional magnetic resonance imaging; happiness; human; human experiment; imagery; male; medial orbitofrontal cortex; mentalization; music; nerve potential; neuroscience; putamen; sadness; striate cortex; ventromedial prefrontal cortex",Article,Scopus,2-s2.0-85099642873
"Traynor J.M., Wrege J.S., Walter M., Ruocco A.C.","57193086364;55844045400;56645672900;9634126100;","Dimensional personality impairment is associated with disruptions in intrinsic intralimbic functional connectivity",2021,"Psychological Medicine",,,,"","",,,"10.1017/S0033291721002865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112397486&doi=10.1017%2fS0033291721002865&partnerID=40&md5=6c88d630c7ca541d2b688bf245ce3967","Department of Psychology, University of Toronto Scarborough, Toronto, ON, Canada; Department of Psychiatry (UPK), University of Basel, Basel, Switzerland","Traynor, J.M., Department of Psychology, University of Toronto Scarborough, Toronto, ON, Canada; Wrege, J.S., Department of Psychiatry (UPK), University of Basel, Basel, Switzerland; Walter, M., Department of Psychiatry (UPK), University of Basel, Basel, Switzerland; Ruocco, A.C., Department of Psychology, University of Toronto Scarborough, Toronto, ON, Canada","functional connectivity; limbic system; personality disorder; Personality impairment; resting-state fMRI",,Article,Scopus,2-s2.0-85112397486
"Schoett M.J.S., Basten U., Deichmann R., Fiebach C.J., Fischmann T.","57188821986;24467493700;7003356095;6601991403;6602167654;","Brain responses to social cues of attachment in mid-childhood",2021,"Attachment and Human Development",,,,"","",,2,"10.1080/14616734.2020.1840791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099650305&doi=10.1080%2f14616734.2020.1840791&partnerID=40&md5=7441043b5e4b92033782866a6c521d82","Goethe University, Frankfurt am Main, Germany; Sigmund-Freud-Institute, Frankfurt am Main, Germany; IdeA Center for Individual Development and Adaptive Education, Frankfurt am Main, Germany; Department of Child and Adolescent Psychiatry, Psychotherapy and Psychosomatics, Medical Faculty, University of Leipzig, Leipzig, Germany; Brain Imaging Center, Goethe University, Frankfurt am Main, Germany; International Psychoanalytic University, Berlin, Germany","Schoett, M.J.S., Goethe University, Frankfurt am Main, Germany, Sigmund-Freud-Institute, Frankfurt am Main, Germany, IdeA Center for Individual Development and Adaptive Education, Frankfurt am Main, Germany, Department of Child and Adolescent Psychiatry, Psychotherapy and Psychosomatics, Medical Faculty, University of Leipzig, Leipzig, Germany; Basten, U., Goethe University, Frankfurt am Main, Germany; Deichmann, R., Brain Imaging Center, Goethe University, Frankfurt am Main, Germany; Fiebach, C.J., Goethe University, Frankfurt am Main, Germany, IdeA Center for Individual Development and Adaptive Education, Frankfurt am Main, Germany, Brain Imaging Center, Goethe University, Frankfurt am Main, Germany; Fischmann, T., Sigmund-Freud-Institute, Frankfurt am Main, Germany, IdeA Center for Individual Development and Adaptive Education, Frankfurt am Main, Germany, International Psychoanalytic University, Berlin, Germany","attachment; developmental; fMRI; mentalization; mid-childhood","anterior insula; anxiety; article; avoidance behavior; child; childhood; controlled study; dorsal anterior cingulate cortex; functional magnetic resonance imaging; human; inferior frontal gyrus; interview; mentalizing network; precuneus; salience network; school child; security; superior frontal gyrus; temporoparietal junction",Article,Scopus,2-s2.0-85099650305
"Cassidy B.S., Hughes C., Krendl A.C.","25627392300;57206725431;9638933900;","Age differences in neural activity related to mentalizing during person perception",2021,"Aging, Neuropsychology, and Cognition","28","1",,"143","160",,2,"10.1080/13825585.2020.1718060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078406647&doi=10.1080%2f13825585.2020.1718060&partnerID=40&md5=cff40c07cd1edfbdf4147e7296c2338c","Department of Psychology, University of North Carolina, Greensboro, United States; Department of Psychological and Brain Sciences, Indiana University, Bloomington, United States","Cassidy, B.S., Department of Psychology, University of North Carolina, Greensboro, United States, ; Hughes, C., Department of Psychological and Brain Sciences, Indiana University, Bloomington, United States; Krendl, A.C., Department of Psychological and Brain Sciences, Indiana University, Bloomington, United States","medial prefrontal cortex; Mentalizing; person perception; race","adult; aged; article; female; functional magnetic resonance imaging; human; human experiment; male; medial prefrontal cortex; mental health; mentalization; perception; race; adolescent; aging; ancestry group; diagnostic imaging; facial recognition; functional neuroimaging; middle aged; nuclear magnetic resonance imaging; physiology; prefrontal cortex; psychology; very elderly; young adult; Adolescent; Adult; Aged; Aged, 80 and over; Aging; Continental Population Groups; Facial Recognition; Female; Functional Neuroimaging; Humans; Magnetic Resonance Imaging; Male; Mentalization; Middle Aged; Prefrontal Cortex; Young Adult",Article,Scopus,2-s2.0-85078406647
"Sun F., Zhao Z., Lan M., Xu Y., Huang M., Xu D.","57188805670;57077299300;7102783232;57110567800;26537560400;13611401700;","Abnormal dynamic functional network connectivity of the mirror neuron system network and the mentalizing network in patients with adolescent-onset, first-episode, drug-naïve schizophrenia",2021,"Neuroscience Research","162",,,"63","70",,7,"10.1016/j.neures.2020.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078058794&doi=10.1016%2fj.neures.2020.01.003&partnerID=40&md5=24457c2183f9e7e941267c3bf4aa743c","School of Psychology and Cognitive Science, East China Normal University, Shanghai, 200062, China; National Demonstration Center for Experimental Psychology Education, East China Normal University, Shanghai, 200062, China; Key Laboratory for Biomedical Engineering of Ministry of Education, Department of Biomedical Engineering, College of Biomedical Engineering & Instrument Science, Zhejiang University, Hangzhou, 310027, China; Shanghai Key Laboratory of Magnetic Resonance, Institute of Cognitive Neuroscience, East China Normal University, Shanghai, 200062, China; Molecular Imaging and Neuropathology Division, Department of Psychiatry, Columbia University & New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY, 10032, United States; Department of Psychiatry, The First Affiliated Hospital, The Key Laboratory of Mental Disorder's Management of Zhejiang Province, Zhejiang University School of Medicine, Zhejiang Province, Hangzhou, 310003, China","Sun, F., School of Psychology and Cognitive Science, East China Normal University, Shanghai, 200062, China, National Demonstration Center for Experimental Psychology Education, East China Normal University, Shanghai, 200062, China; Zhao, Z., Key Laboratory for Biomedical Engineering of Ministry of Education, Department of Biomedical Engineering, College of Biomedical Engineering & Instrument Science, Zhejiang University, Hangzhou, 310027, China, Shanghai Key Laboratory of Magnetic Resonance, Institute of Cognitive Neuroscience, East China Normal University, Shanghai, 200062, China, Molecular Imaging and Neuropathology Division, Department of Psychiatry, Columbia University & New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY, 10032, United States; Lan, M., Molecular Imaging and Neuropathology Division, Department of Psychiatry, Columbia University & New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY, 10032, United States; Xu, Y., Department of Psychiatry, The First Affiliated Hospital, The Key Laboratory of Mental Disorder's Management of Zhejiang Province, Zhejiang University School of Medicine, Zhejiang Province, Hangzhou, 310003, China; Huang, M., Department of Psychiatry, The First Affiliated Hospital, The Key Laboratory of Mental Disorder's Management of Zhejiang Province, Zhejiang University School of Medicine, Zhejiang Province, Hangzhou, 310003, China; Xu, D., Molecular Imaging and Neuropathology Division, Department of Psychiatry, Columbia University & New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY, 10032, United States","Adolescent-Onset schizophrenia; Dynamic functional connectivity; Mentalizing network; Mirror neuron system network; Resting-State fMRI","adolescent; Article; cerebrospinal fluid; clinical article; clinical assessment; controlled study; diagnostic test accuracy study; dorsomedial prefrontal cortex; DSM-IV; female; functional connectivity; functional disease; functional magnetic resonance imaging; fusiform gyrus; head movement; human; inferior frontal gyrus; intraparietal sulcus; kernel method; male; mentalizing network; middle temporal gyrus; mirror neuron system; neurologic examination; parietal lobe; physical examination; Positive and Negative Syndrome Scale; precuneus; priority journal; schizophrenia; sensitivity and specificity; social disability; supplementary motor area; temporoparietal junction; white matter; brain; brain mapping; diagnostic imaging; mirror neuron; nerve tract; nuclear magnetic resonance imaging; schizophrenia; drug; Adolescent; Brain; Brain Mapping; Humans; Magnetic Resonance Imaging; Mentalization; Mirror Neurons; Neural Pathways; Pharmaceutical Preparations; Schizophrenia",Article,Scopus,2-s2.0-85078058794
