"","X","subject","educ86","twoyr","female","black","hispanic","bytest","dadmiss","dadvoc","dadsome","dadcoll","mommiss","momvoc","momsome","momcoll","fincome","fincmiss","ownhome","perwhite","urban","cue80","stypc80","stwmfg80","tuition2","tuition4","dist2yr","dist4yr","region_midwest","region_south","region_west","nearer2yr","dad.educ","mom.educ","region","race.ethnicity","outcome","treatment"
"14",14,60,16,1,0,0,0,55.76,0,0,1,0,1,0,0,0,18000,0,1,100,0,9.8,11852,9.64,1010.39,1152.42,15,45,0,0,0,TRUE,"Some College","Missing","East","White/Other",16,1
"15",15,61,12,1,1,0,0,55.54,0,0,0,0,0,0,1,0,31500,0,1,100,0,9.8,11852,9.64,1010.39,1152.42,15,45,0,0,0,TRUE,"High School","Some College","East","White/Other",12,1
"16",16,63,15,1,1,0,0,56.93,0,0,0,1,0,0,0,1,31500,0,1,94,0,10.7,11852,9.64,1010.39,1152.42,2,5,0,0,0,TRUE,"College Grad","College Grad","East","White/Other",15,1
"17",17,76,15,1,0,0,1,56.02,0,0,1,0,0,0,0,0,18000,0,1,99,0,8,11852,9.64,1010.39,1152.42,19,60,0,0,0,TRUE,"Some College","High School","East","Hispanic",15,1
"18",18,77,12,1,1,0,0,56.28,0,1,0,0,0,0,0,0,14000,0,1,99,0,8,11852,9.64,1010.39,1152.42,19,60,0,0,0,TRUE,"Voc","High School","East","White/Other",12,1
"19",19,79,15,1,0,0,0,60.83,1,0,0,0,1,0,0,0,18000,0,0,100,0,10.8,11852,9.64,1010.39,1152.42,3,65,0,0,0,TRUE,"Missing","Missing","East","White/Other",15,1
"20",20,80,15,1,1,0,0,61.45,1,0,0,0,1,0,0,0,22500,0,1,100,0,10.8,11852,9.64,1010.39,1152.42,3,65,0,0,0,TRUE,"Missing","Missing","East","White/Other",15,1
"21",21,81,15,1,0,0,0,58.06,0,0,1,0,0,0,0,0,62000,0,1,99,0,9.5,11852,9.64,1010.39,1152.42,10,20,0,0,0,TRUE,"Some College","High School","East","White/Other",15,1
"22",22,85,13,1,0,0,0,64.89,0,0,0,1,0,0,0,0,31500,0,1,94,0,5.3,11852,9.64,1010.39,1152.42,12,5,0,0,0,FALSE,"College Grad","High School","East","White/Other",13,1
"23",23,86,12,1,1,0,0,55.98,0,0,1,0,0,0,1,0,22500,0,1,94,0,5.3,11852,9.64,1010.39,1152.42,12,5,0,0,0,FALSE,"Some College","Some College","East","White/Other",12,1
"24",24,87,16,1,1,0,0,58.2,0,0,0,0,0,0,0,0,18000,0,1,95,0,6.3,11852,9.64,1010.39,1152.42,6,4,0,0,0,FALSE,"High School","High School","East","White/Other",16,1
"25",25,92,14,1,1,0,0,58.54,1,0,0,0,0,0,1,0,9500,0,1,90,0,5.1,11852,9.64,1010.39,1152.42,2,5,0,0,0,TRUE,"Missing","Some College","East","White/Other",14,1
"26",26,94,13,1,1,0,0,56.22,0,0,0,0,0,0,0,0,62000,0,0,95,0,6.6,11852,9.64,1010.39,1152.42,10,20,0,0,0,TRUE,"High School","High School","East","White/Other",13,1
"27",27,96,12,1,0,0,0,64.28,1,0,0,0,0,1,0,0,14000,0,1,70,0,7.6,11852,9.64,1010.39,1152.42,25,1,0,0,0,FALSE,"Missing","Voc","East","White/Other",12,1
"28",28,100,16,1,0,0,0,62.38,0,0,0,0,0,1,0,0,9500,0,0,68,0,4.8,12625,689.38,1127.02,1127.02,10,10,0,0,0,FALSE,"High School","Voc","East","White/Other",16,1
"29",29,106,13,1,0,0,0,55.15,0,0,1,0,1,0,0,0,31500,0,1,99,0,7.8,12625,689.38,1127.02,1127.02,7,7,0,0,0,FALSE,"Some College","Missing","East","White/Other",13,1
"30",30,109,14,1,1,1,0,58.81,0,0,0,0,0,0,0,0,22500,0,1,8,0,7.7,12625,689.38,1127.02,1127.02,7,7,0,0,0,FALSE,"High School","High School","East","Black",14,1
"31",31,111,12,1,0,0,0,62.55,0,0,0,0,0,0,0,0,22500,0,0,96,0,6.9,12625,689.38,1127.02,1127.02,10,10,0,0,0,FALSE,"High School","High School","East","White/Other",12,1
"32",32,115,15,1,1,0,0,56.13,0,0,0,0,0,0,0,0,22500,0,1,93,0,4.8,12625,689.38,1127.02,1127.02,15,15,0,0,0,FALSE,"High School","High School","East","White/Other",15,1
"33",33,116,16,1,0,0,0,57.2,0,0,1,0,0,0,1,0,31500,0,1,93,0,4.8,12625,689.38,1127.02,1127.02,15,15,0,0,0,FALSE,"Some College","Some College","East","White/Other",16,1
"34",34,120,15,1,0,0,0,61.73,0,0,1,0,0,1,0,0,22500,0,1,78,0,6.2,12625,689.38,1127.02,1127.02,5,5,0,0,0,FALSE,"Some College","Voc","East","White/Other",15,1
"35",35,123,14,1,0,0,0,58.58,0,0,0,0,0,1,0,0,62000,0,1,99,0,7.4,12625,689.38,1127.02,1127.02,10,10,0,0,0,FALSE,"High School","Voc","East","White/Other",14,1
"36",36,126,16,1,0,0,0,55.22,0,0,0,0,0,1,0,0,9500,0,0,82,0,6.2,12625,689.38,1127.02,1127.02,1,1,0,0,0,FALSE,"High School","Voc","East","White/Other",16,1
"37",37,127,12,1,1,0,0,63.63,0,0,0,1,0,0,0,0,31500,0,1,96,0,5.6,10840,9.96,836.03,1404.16,15,6,0,0,0,FALSE,"College Grad","High School","East","White/Other",12,1
"38",38,129,12,1,0,0,0,59,0,1,0,0,0,0,0,0,9500,0,1,95,0,5.9,10840,9.96,836.03,1404.16,3,3,0,0,0,FALSE,"Voc","High School","East","White/Other",12,1
"39",39,132,12,1,0,0,0,56.48,0,0,1,0,0,0,1,0,0,1,1,99,0,5.2,10840,9.96,836.03,1404.16,10,20,0,0,0,TRUE,"Some College","Some College","East","White/Other",12,1
"40",40,136,12,1,0,0,0,66.31,0,0,0,0,0,0,0,0,14000,0,1,95,1,12.1,10840,9.96,836.03,1404.16,3,5,0,0,0,TRUE,"High School","High School","East","White/Other",12,1
"41",41,140,17,1,0,0,0,55.74,0,0,0,0,0,0,1,0,31500,0,1,99,0,11,10840,9.96,836.03,1404.16,1,7,0,0,0,TRUE,"High School","Some College","East","White/Other",17,1
"42",42,142,16,1,0,1,0,65.51,0,0,0,1,0,0,1,0,18000,0,1,99,0,11,10840,9.96,836.03,1404.16,1,7,0,0,0,TRUE,"College Grad","Some College","East","Black",16,1
"43",43,144,14,1,1,0,0,57.16,0,0,0,0,0,0,0,0,14000,0,1,99,0,6.9,10840,9.96,836.03,1404.16,6,22,0,0,0,TRUE,"High School","High School","East","White/Other",14,1
"44",44,146,13,1,0,1,0,58.65,0,0,1,0,0,0,0,0,9500,0,1,26,1,7.7,10840,9.96,836.03,1404.16,10,2,0,0,0,FALSE,"Some College","High School","East","Black",13,1
"45",45,151,15,1,0,0,0,61.29,0,0,0,1,0,0,0,1,62000,0,1,99,0,11.9,10840,9.96,836.03,1404.16,60,3,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",15,1
"46",46,153,12,1,0,0,0,58.24,0,0,0,0,0,0,0,0,18000,0,1,97,0,9.5,10840,9.96,836.03,1404.16,30,3,0,0,0,FALSE,"High School","High School","East","White/Other",12,1
"47",47,155,16,1,0,0,0,62.66,0,0,0,0,0,0,0,0,18000,0,1,94,0,7.5,10840,9.96,836.03,1404.16,5,2,0,0,0,FALSE,"High School","High School","East","White/Other",16,1
"48",48,159,16,1,0,0,0,61.69,0,0,0,0,0,0,0,0,9500,0,0,99,0,10.2,10840,9.96,836.03,1404.16,30,30,0,0,0,FALSE,"High School","High School","East","White/Other",16,1
"49",49,160,12,1,1,0,0,58.92,0,0,0,0,0,0,0,0,14000,0,1,99,0,10.2,10840,9.96,836.03,1404.16,30,30,0,0,0,FALSE,"High School","High School","East","White/Other",12,1
"50",50,163,15,1,0,0,0,56.24,0,0,0,0,0,0,0,0,14000,0,1,100,0,8.9,10840,9.96,836.03,1404.16,25,38,0,0,0,TRUE,"High School","High School","East","White/Other",15,1
"51",51,171,12,1,1,0,0,57.98,0,0,0,0,0,0,0,0,31500,0,1,98,0,11.9,10840,9.96,836.03,1404.16,8,25,0,0,0,TRUE,"High School","High School","East","White/Other",12,1
"52",52,176,16,1,0,0,0,62.73,0,0,1,0,0,0,0,0,0,1,1,78,1,7.7,10840,9.96,836.03,1404.16,5,5,0,0,0,FALSE,"Some College","High School","East","White/Other",16,1
"53",53,178,12,1,1,0,0,57.57,0,0,0,0,0,0,0,0,14000,0,1,78,1,7.7,10840,9.96,836.03,1404.16,5,5,0,0,0,FALSE,"High School","High School","East","White/Other",12,1
"54",54,187,13,1,0,0,0,55.9,0,0,0,0,0,0,0,0,9500,0,0,84,0,5.5,10549,7.54,513.86,818.71,20,1,0,1,0,FALSE,"High School","High School","South","White/Other",13,1
"55",55,190,12,1,1,0,0,61.23,0,0,0,0,0,0,0,0,18000,0,1,91,0,5.6,10549,7.54,513.86,818.71,7,6,0,1,0,FALSE,"High School","High School","South","White/Other",12,1
"56",56,196,13,1,0,0,0,59.64,0,1,0,0,0,0,0,0,22500,0,1,97,0,5.5,9279,7.35,509.24,751.73,2,18,0,1,0,TRUE,"Voc","High School","South","White/Other",13,1
"57",57,198,12,1,1,0,0,62.23,0,0,0,0,0,0,0,0,14000,0,1,97,0,5.5,9279,7.35,509.24,751.73,2,18,0,1,0,TRUE,"High School","High School","South","White/Other",12,1
"58",58,200,14,1,1,0,0,61.06,0,0,0,1,0,0,0,1,22500,0,1,47,0,4.2,11997,9.68,554.27,1093.53,7,1,0,1,0,FALSE,"College Grad","College Grad","South","White/Other",14,1
"59",59,215,14,1,0,1,0,56.39,0,1,0,0,0,0,0,0,22500,0,1,77,0,5.3,11997,9.68,554.27,1093.53,10,12,0,1,0,TRUE,"Voc","High School","South","Black",14,1
"60",60,216,13,1,0,0,0,61.72,0,0,0,1,0,0,0,0,62000,0,1,86,0,3,11997,9.68,554.27,1093.53,11,15,0,1,0,TRUE,"College Grad","High School","South","White/Other",13,1
"61",61,221,16,1,1,0,0,57.02,0,0,1,0,0,0,0,0,31500,0,1,100,0,4.6,9279,7.35,509.24,751.73,15,7,0,1,0,FALSE,"Some College","High School","South","White/Other",16,1
"62",62,226,15,1,1,0,1,56.82,0,1,0,0,0,0,0,0,22500,0,1,81,0,4,10549,7.54,513.86,818.71,8,20,0,1,0,TRUE,"Voc","High School","South","Hispanic",15,1
"63",63,228,12,1,1,0,0,55.81,0,1,0,0,0,0,0,0,18000,0,1,89,0,2.5,10815,7.18,394.92,1165.13,10,15,0,1,0,TRUE,"Voc","High School","South","White/Other",12,1
"64",64,233,13,1,0,0,0,65.76,1,0,0,0,0,0,0,0,14000,0,1,87,0,6.3,11997,9.68,554.27,1093.53,12,19,0,1,0,TRUE,"Missing","High School","South","White/Other",13,1
"65",65,238,13,1,0,0,0,57.37,0,0,0,1,0,0,0,0,9500,0,1,94,0,6.8,8977,7.33,135.1,655.89,25,25,0,1,0,FALSE,"College Grad","High School","South","White/Other",13,1
"66",66,244,12,1,1,0,0,55.2,0,0,0,0,0,0,0,0,31500,0,1,99,0,6.7,10815,7.18,394.92,1165.13,9,5,0,1,0,FALSE,"High School","High School","South","White/Other",12,1
"67",67,249,13,1,1,0,0,55.38,0,0,0,0,0,1,0,0,18000,0,1,87,0,7.2,10815,7.18,394.92,1165.13,8,36,0,1,0,TRUE,"High School","Voc","South","White/Other",13,1
"68",68,252,15,1,0,0,0,63.76,0,0,0,1,0,0,1,0,22500,0,1,98,0,10.8,11997,9.68,554.27,1093.53,2,10,0,1,0,TRUE,"College Grad","Some College","South","White/Other",15,1
"69",69,257,14,1,0,1,0,58.34,0,0,0,1,1,0,0,0,14000,0,0,72,0,7.3,11997,9.68,554.27,1093.53,0,10,0,1,0,TRUE,"College Grad","Missing","South","Black",14,1
"70",70,267,16,1,0,0,0,56.39,0,0,1,0,0,0,0,1,14000,0,1,46,0,7.2,8977,7.33,135.1,655.89,7,30,0,1,0,TRUE,"Some College","College Grad","South","White/Other",16,1
"71",71,269,16,1,0,0,0,56.56,0,0,0,1,0,0,0,1,62000,0,1,46,0,7.2,8977,7.33,135.1,655.89,7,30,0,1,0,TRUE,"College Grad","College Grad","South","White/Other",16,1
"72",72,271,13,1,0,0,0,56.9,0,0,0,0,0,1,0,0,18000,0,1,70,0,6.9,10815,7.18,394.92,1165.13,3,1,0,1,0,FALSE,"High School","Voc","South","White/Other",13,1
"73",73,277,12,1,0,0,0,60.13,1,0,0,0,0,1,0,0,14000,0,1,85,0,8,10549,7.54,513.86,818.71,7,7,0,1,0,FALSE,"Missing","Voc","South","White/Other",12,1
"74",74,279,14,1,0,0,0,56.46,0,0,0,0,0,0,0,0,14000,0,1,85,0,8,10549,7.54,513.86,818.71,7,7,0,1,0,FALSE,"High School","High School","South","White/Other",14,1
"75",75,291,15,1,1,0,0,56.16,0,0,1,0,0,1,0,0,22500,0,1,72,0,4,11997,9.68,554.27,1093.53,5,50,0,1,0,TRUE,"Some College","Voc","South","White/Other",15,1
"76",76,293,15,1,0,0,0,58.6,0,1,0,0,0,0,0,0,62000,0,1,72,0,4,11997,9.68,554.27,1093.53,5,50,0,1,0,TRUE,"Voc","High School","South","White/Other",15,1
"77",77,301,15,1,0,1,0,55.35,0,0,0,0,0,0,0,0,18000,0,1,35,1,9.2,11997,9.68,554.27,1093.53,3,1,0,1,0,FALSE,"High School","High School","South","Black",15,1
"78",78,307,12,1,0,0,0,59.26,0,0,1,0,0,0,0,1,22500,0,1,86,0,5.6,10549,7.54,513.86,818.71,5,30,0,1,0,TRUE,"Some College","College Grad","South","White/Other",12,1
"79",79,308,13,1,0,0,0,58.03,0,0,1,0,0,0,0,1,62000,0,1,86,0,5.6,10549,7.54,513.86,818.71,5,30,0,1,0,TRUE,"Some College","College Grad","South","White/Other",13,1
"80",80,311,13,1,0,1,0,55.29,0,0,0,0,1,0,0,0,14000,0,1,22,1,4.6,10815,7.18,394.92,1165.13,7,7,0,1,0,FALSE,"High School","Missing","South","Black",13,1
"81",81,321,13,1,1,0,0,59.48,0,0,0,0,0,0,0,0,14000,0,1,100,0,10.8,11997,9.68,554.27,1093.53,20,10,0,1,0,FALSE,"High School","High School","South","White/Other",13,1
"82",82,323,12,1,0,0,0,55.77,1,0,0,0,0,1,0,0,22500,0,1,91,0,8.8,11997,9.68,554.27,1093.53,7,10,0,1,0,TRUE,"Missing","Voc","South","White/Other",12,1
"83",83,325,15,1,0,0,0,56.77,0,0,0,0,0,1,0,0,18000,0,1,55,0,5.1,9279,7.35,509.24,751.73,6,10,0,1,0,TRUE,"High School","Voc","South","White/Other",15,1
"84",84,328,13,1,0,1,0,64.61,0,0,0,0,0,0,0,0,0,1,1,76,1,5.5,10815,7.18,394.92,1165.13,2,8,0,1,0,TRUE,"High School","High School","South","Black",13,1
"85",85,335,14,1,0,0,0,55.28,0,1,0,0,0,0,0,0,9500,0,0,91,0,6.3,10549,7.54,513.86,818.71,2,40,0,1,0,TRUE,"Voc","High School","South","White/Other",14,1
"86",86,341,12,1,1,0,0,60.93,0,0,0,1,0,0,1,0,9500,0,1,87,0,4.7,10549,7.54,513.86,818.71,0,7,0,1,0,TRUE,"College Grad","Some College","South","White/Other",12,1
"87",87,342,12,1,1,0,0,58.16,0,0,1,0,0,0,0,0,0,1,1,50,0,5.8,10815,7.18,394.92,1165.13,10,5,0,1,0,FALSE,"Some College","High School","South","White/Other",12,1
"88",88,353,17,1,1,1,0,64.69,0,0,0,0,0,0,1,0,22500,0,1,69,1,5.7,10815,7.18,394.92,1165.13,1,3,0,1,0,TRUE,"High School","Some College","South","Black",17,1
"89",89,369,13,1,0,0,0,59.61,0,0,0,0,0,0,0,0,0,1,1,93,0,5.5,7688,7.4,378.75,883.37,8,1,0,1,0,FALSE,"High School","High School","South","White/Other",13,1
"90",90,370,13,1,1,0,0,57.51,0,0,0,1,0,0,0,1,0,1,1,93,0,5.5,7688,7.4,378.75,883.37,8,1,0,1,0,FALSE,"College Grad","College Grad","South","White/Other",13,1
"91",91,372,17,1,1,0,0,57.9,1,0,0,0,0,0,1,0,22500,0,1,93,0,5.5,7688,7.4,378.75,883.37,8,1,0,1,0,FALSE,"Missing","Some College","South","White/Other",17,1
"92",92,375,16,1,0,0,0,58.08,0,0,1,0,0,0,0,0,22500,0,1,60,1,5.5,7688,7.4,378.75,883.37,13,3,0,1,0,FALSE,"Some College","High School","South","White/Other",16,1
"93",93,378,16,1,1,0,1,56.72,0,0,0,1,0,0,0,0,62000,0,1,60,1,5.5,7688,7.4,378.75,883.37,13,3,0,1,0,FALSE,"College Grad","High School","South","Hispanic",16,1
"94",94,381,16,1,1,0,0,55.99,0,0,0,0,0,0,0,0,14000,0,0,60,1,5.5,7688,7.4,378.75,883.37,13,3,0,1,0,FALSE,"High School","High School","South","White/Other",16,1
"95",95,384,12,1,0,0,0,55.16,0,0,1,0,0,0,0,0,18000,0,1,80,0,3.7,7688,7.4,378.75,883.37,30,5,0,1,0,FALSE,"Some College","High School","South","White/Other",12,1
"96",96,385,13,1,1,0,0,57.7,0,0,1,0,0,0,1,0,18000,0,0,80,0,3.7,7688,7.4,378.75,883.37,30,5,0,1,0,FALSE,"Some College","Some College","South","White/Other",13,1
"97",97,386,16,1,1,0,0,64.63,0,0,0,1,0,0,0,1,9500,0,1,99,0,12.1,8731,9.07,450.35,669.75,20,35,0,1,0,TRUE,"College Grad","College Grad","South","White/Other",16,1
"98",98,390,12,1,0,0,0,55.04,0,1,0,0,0,1,0,0,62000,0,1,98,1,5.7,8795,8.26,374.13,615.47,40,8,0,1,0,FALSE,"Voc","Voc","South","White/Other",12,1
"99",99,391,15,1,1,0,0,61.09,0,0,0,0,0,1,0,0,14000,0,1,100,0,9,8626,7.49,346.42,804.85,1,15,0,1,0,TRUE,"High School","Voc","South","White/Other",15,1
"100",100,393,13,1,0,0,0,59.2,0,0,1,0,0,0,1,0,22500,0,1,100,0,10.2,8626,7.49,346.42,804.85,30,32,0,1,0,TRUE,"Some College","Some College","South","White/Other",13,1
"101",101,399,12,1,1,0,0,58.77,1,0,0,0,0,1,0,0,14000,0,0,93,0,10.8,8795,8.26,374.13,615.47,6,40,0,1,0,TRUE,"Missing","Voc","South","White/Other",12,1
"102",102,400,13,1,1,0,0,55.17,0,0,0,0,0,0,0,0,14000,0,1,93,0,10.8,8795,8.26,374.13,615.47,6,40,0,1,0,TRUE,"High School","High School","South","White/Other",13,1
"103",103,403,16,1,1,0,0,61.81,0,0,1,0,0,0,0,0,22500,0,1,100,0,8.5,8795,8.26,374.13,615.47,26,26,0,1,0,FALSE,"Some College","High School","South","White/Other",16,1
"104",104,414,12,1,1,0,0,57.98,0,0,0,0,0,0,0,0,9500,0,1,70,0,11.5,8626,7.49,346.42,804.85,35,50,0,1,0,TRUE,"High School","High School","South","White/Other",12,1
"105",105,417,14,1,0,0,0,59.45,0,0,0,0,0,0,0,0,18000,0,0,96,0,9.4,8731,9.07,450.35,669.75,10,50,0,1,0,TRUE,"High School","High School","South","White/Other",14,1
"106",106,418,12,1,1,0,0,60.46,0,0,0,0,0,0,0,0,9500,0,1,96,0,9.4,8731,9.07,450.35,669.75,10,50,0,1,0,TRUE,"High School","High School","South","White/Other",12,1
"107",107,419,13,1,1,0,0,58.19,0,0,0,0,0,0,0,0,14000,0,1,96,0,9.4,8731,9.07,450.35,669.75,10,50,0,1,0,TRUE,"High School","High School","South","White/Other",13,1
"108",108,429,13,1,1,0,0,55.02,0,0,0,0,0,0,0,0,18000,0,1,40,0,9.7,8626,7.49,346.42,804.85,26,70,0,1,0,TRUE,"High School","High School","South","White/Other",13,1
"109",109,431,13,1,0,0,0,57.96,0,0,0,0,0,0,0,0,14000,0,1,98,0,12.5,8731,9.07,450.35,669.75,30,90,0,1,0,TRUE,"High School","High School","South","White/Other",13,1
"110",110,434,14,1,1,0,0,60.24,0,0,1,0,0,0,1,0,9500,0,0,75,0,8.4,8795,8.26,374.13,615.47,25,45,0,1,0,TRUE,"Some College","Some College","South","White/Other",14,1
"111",111,454,15,1,1,0,0,55.06,0,0,0,0,1,0,0,0,31500,0,0,61,0,8.4,10497,368.36,524.25,524.25,100,100,0,1,0,FALSE,"High School","Missing","South","White/Other",15,1
"112",112,463,13,1,0,0,0,59.72,1,0,0,0,0,0,0,0,9500,0,1,60,0,9.9,8189,6.59,479.21,692.84,2,60,0,1,0,TRUE,"Missing","High School","South","White/Other",13,1
"113",113,478,16,1,0,0,0,60.83,1,0,0,0,1,0,0,0,9500,0,0,75,1,4.3,10980,9.92,288.68,454.97,1,1,0,1,0,FALSE,"Missing","Missing","South","White/Other",16,1
"114",114,480,15,1,0,0,0,57.3,0,0,0,0,0,0,0,0,31500,0,1,78,0,3.7,10980,9.92,288.68,454.97,2,5,0,1,0,TRUE,"High School","High School","South","White/Other",15,1
"115",115,483,12,1,1,0,0,59.5,0,0,1,0,0,0,0,0,62000,0,1,78,0,3.7,10980,9.92,288.68,454.97,2,5,0,1,0,TRUE,"Some College","High School","South","White/Other",12,1
"116",116,486,13,1,1,1,0,64.18,0,0,1,0,0,0,1,0,14000,0,1,80,0,6.9,10980,9.92,288.68,454.97,5,40,0,1,0,TRUE,"Some College","Some College","South","Black",13,1
"117",117,487,12,1,1,0,0,60.41,0,0,0,0,0,0,0,0,9500,0,1,80,0,6.9,10980,9.92,288.68,454.97,5,40,0,1,0,TRUE,"High School","High School","South","White/Other",12,1
"118",118,489,13,1,0,0,0,59.37,0,0,0,0,0,0,0,0,9500,0,1,82,0,4.5,10980,9.92,288.68,454.97,2,17,0,1,0,TRUE,"High School","High School","South","White/Other",13,1
"119",119,493,15,1,1,0,0,57.81,0,0,0,1,0,1,0,0,31500,0,1,82,0,4.5,10980,9.92,288.68,454.97,2,17,0,1,0,TRUE,"College Grad","Voc","South","White/Other",15,1
"120",120,496,13,1,1,0,0,59.65,0,0,0,0,0,0,0,0,18000,0,1,97,0,4.6,10980,9.92,288.68,454.97,40,40,0,1,0,FALSE,"High School","High School","South","White/Other",13,1
"121",121,500,15,1,0,1,0,57.4,0,0,1,0,0,0,0,1,9500,0,1,68,0,5.1,10980,9.92,288.68,454.97,19,35,0,1,0,TRUE,"Some College","College Grad","South","Black",15,1
"122",122,511,13,1,0,0,0,57.94,0,0,0,1,0,0,1,0,31500,0,1,85,0,7.5,10980,9.92,288.68,454.97,14,45,0,1,0,TRUE,"College Grad","Some College","South","White/Other",13,1
"123",123,515,14,1,1,0,0,59.33,0,0,0,0,0,0,0,0,31500,0,1,79,0,6.2,10980,9.92,288.68,454.97,16,40,0,1,0,TRUE,"High School","High School","South","White/Other",14,1
"124",124,516,16,1,1,0,0,56.89,1,0,0,0,0,0,0,0,3500,0,1,79,0,6.2,10980,9.92,288.68,454.97,16,40,0,1,0,TRUE,"Missing","High School","South","White/Other",16,1
"125",125,518,15,1,0,0,0,55.97,0,0,1,0,0,0,0,0,31500,0,1,66,0,8.1,10980,9.92,288.68,454.97,4,30,0,1,0,TRUE,"Some College","High School","South","White/Other",15,1
"126",126,519,16,1,1,0,0,64.23,0,1,0,0,0,0,0,0,22500,0,1,78,0,6,10980,9.92,288.68,454.97,44,45,0,1,0,TRUE,"Voc","High School","South","White/Other",16,1
"127",127,530,14,1,0,0,0,62.83,0,0,0,0,0,0,0,0,31500,0,1,74,1,4.3,10980,9.92,288.68,454.97,8,15,0,1,0,TRUE,"High School","High School","South","White/Other",14,1
"128",128,539,12,1,1,0,0,62.36,0,1,0,0,0,0,1,0,18000,0,1,94,0,3.7,10980,9.92,288.68,454.97,2,1,0,1,0,FALSE,"Voc","Some College","South","White/Other",12,1
"129",129,541,13,1,0,0,0,56.19,0,0,1,0,0,0,0,0,31500,0,1,98,0,7.2,10911,756.35,1248.27,1248.27,10,10,1,0,0,FALSE,"Some College","High School","Midwest","White/Other",13,1
"130",130,544,15,1,1,0,0,59.01,0,1,0,0,0,0,0,0,18000,0,1,99,0,8.9,10911,756.35,1248.27,1248.27,2,2,1,0,0,FALSE,"Voc","High School","Midwest","White/Other",15,1
"131",131,545,12,1,1,0,0,60.16,1,0,0,0,0,0,0,0,9500,0,1,99,0,7.8,10911,756.35,1248.27,1248.27,12,12,1,0,0,FALSE,"Missing","High School","Midwest","White/Other",12,1
"132",132,547,12,1,0,0,0,63.87,1,0,0,0,0,0,0,1,9500,0,0,99,0,7.8,10911,756.35,1248.27,1248.27,12,12,1,0,0,FALSE,"Missing","College Grad","Midwest","White/Other",12,1
"133",133,548,13,1,1,0,0,58.7,1,0,0,0,0,1,0,0,14000,0,0,69,1,9.3,10911,756.35,1248.27,1248.27,20,20,1,0,0,FALSE,"Missing","Voc","Midwest","White/Other",13,1
"134",134,549,14,1,1,0,0,55.58,0,0,0,0,0,0,0,0,14000,0,1,94,0,7.2,10911,756.35,1248.27,1248.27,1,1,1,0,0,FALSE,"High School","High School","Midwest","White/Other",14,1
