id,state,chain,co_owned,hours_open,start_wage,employment_before,employment_after,employment_change
82,NJ,roys,yes,17,5,21,18,-3
83,NJ,wendys,no,12,5,34.5,26.5,-8
84,NJ,wendys,no,13.5,5,18.25,33,14.75
85,NJ,bk,no,12.5,5.5,20,20.5,0.5
86,NJ,bk,yes,16,5,16,24.5,8.5
87,NJ,kfc,no,10,5,17.5,16,-1.5
88,NJ,wendys,no,14,5,20,23.5,3.5
89,NJ,kfc,yes,11,5,12.25,13,0.75
90,NJ,roys,no,16,5.25,33,20,-13
91,NJ,roys,no,17,5.5,31.5,22,-9.5
92,NJ,wendys,no,12.5,5.05,28,25.5,-2.5
93,NJ,bk,no,16,5,16.5,18,1.5
94,NJ,bk,no,14,5.12,14.75,9,-5.75
95,NJ,bk,no,17,5.25,23.5,26.5,3
96,NJ,bk,no,15,5,10,0,-10
97,NJ,bk,no,15,5.12,46.5,23.75,-22.75
98,NJ,kfc,no,12,5,15.5,18,2.5
99,NJ,roys,yes,17,5,24.5,36,11.5
100,NJ,roys,yes,16.5,5,24,21,-3
101,NJ,roys,yes,19,5,23,15.5,-7.5
102,NJ,wendys,no,12.5,5,28,22.5,-5.5
103,NJ,bk,yes,16,5,32.5,27,-5.5
104,NJ,bk,yes,16,5,23,34,11
105,NJ,roys,no,15,5.62,17,16.75,-0.25
106,NJ,roys,yes,16,5,30,26,-4
107,NJ,wendys,yes,11.5,5,21.5,18,-3.5
108,NJ,bk,no,17,5,32,20.5,-11.5
109,NJ,bk,no,16,5,8,15,7
110,NJ,roys,yes,17,5.1,35.5,25.5,-10
111,NJ,roys,yes,17,5.25,33,20,-13
112,NJ,roys,no,13.5,5.5,22,18,-4
113,NJ,bk,no,14.5,5,23,26.5,3.5
114,NJ,bk,yes,15,5,23,23.25,0.25
115,NJ,kfc,yes,11,5,8.5,10.5,2
116,NJ,kfc,yes,11,5.05,12.5,12,-0.5
117,NJ,kfc,yes,10,5.5,9.5,9.5,0
118,NJ,kfc,yes,10.5,5,13,15.5,2.5
119,NJ,bk,yes,16,5.3,17,14.5,-2.5
120,NJ,kfc,yes,11.5,5,9,14,5
121,NJ,kfc,yes,10.5,5,19,6.5,-12.5
122,NJ,kfc,no,12,5,11.5,10,-1.5
123,NJ,kfc,no,12.5,5,13,11.5,-1.5
124,NJ,roys,no,24,5.25,48,46.5,-1.5
125,NJ,roys,yes,24,5.15,45.5,26.5,-19
126,NJ,wendys,no,15.5,5.42,15,16,1
127,NJ,bk,no,12.5,5,18,13,-5
128,NJ,roys,yes,16,5,21,14,-7
129,NJ,wendys,no,10.5,5.06,20.5,15.5,-5
130,NJ,wendys,no,11.5,5.05,20.5,18,-2.5
131,NJ,wendys,no,11.5,5,17.5,27,9.5
132,NJ,bk,no,16,5,27.5,27,-0.5
133,NJ,bk,yes,15.5,5,24,29.5,5.5
134,NJ,bk,no,15,5.25,34,16.5,-17.5
135,NJ,bk,yes,18.5,5,18,31.5,13.5
136,NJ,bk,no,16.5,5,24,27.5,3.5
137,NJ,wendys,yes,11.5,5,33.5,32,-1.5
138,NJ,wendys,yes,10.5,5.75,12,14.5,2.5
139,NJ,bk,no,15,5,35,10.5,-24.5
140,NJ,bk,no,16,4.5,35,44,9
141,NJ,bk,no,14,4.75,16,15.5,-0.5
142,NJ,kfc,no,10,4.25,15.5,10.5,-5
143,NJ,roys,no,12.5,4.75,19,24,5
144,NJ,roys,no,17,4.5,24,29,5
145,NJ,bk,no,16,4.37,36,20,-16
146,NJ,bk,no,16,4.25,29,26.5,-2.5
147,NJ,bk,no,16,4.25,29,27,-2
148,NJ,bk,no,16,4.37,21.25,26.5,5.25
149,NJ,kfc,no,10,4.5,15.5,10.5,-5
150,NJ,roys,no,17,4.6,19.5,18,-1.5
151,NJ,roys,no,17,4.5,21,18.5,-2.5
152,NJ,roys,no,17,4.37,14,25.5,11.5
153,NJ,roys,no,17,4.25,30.5,32,1.5
154,NJ,bk,no,16,4.25,23.5,33,9.5
155,NJ,kfc,no,10.5,4.45,14,7.5,-6.5
156,NJ,roys,no,16,4.35,14.5,12.5,-2
157,NJ,bk,no,16,4.5,15.5,24,8.5
158,NJ,bk,no,16,4.75,26.5,29,2.5
159,NJ,kfc,no,10,4.5,8,10,2
160,NJ,kfc,no,11,4.5,5.5,9.5,4
161,NJ,roys,no,11.5,4.5,23.25,17.5,-5.75
162,NJ,roys,yes,11.5,4.95,15.5,17.5,2
163,NJ,wendys,no,11.5,4.5,32.25,25,-7.25
164,NJ,bk,no,17,4.25,30,26,-4
165,NJ,bk,no,16,4.5,30.5,22.5,-8
166,NJ,bk,no,17,4.25,27,35,8
167,NJ,bk,no,13.5,4.5,18.5,17.75,-0.75
168,NJ,bk,no,17,4.25,38,24.5,-13.5
169,NJ,bk,no,18,4.25,16.5,16.5,0
170,NJ,bk,no,16,4.5,50,30,-20
171,NJ,bk,no,17,4.75,20.5,39,18.5
172,NJ,kfc,no,12,4.25,6.5,17,10.5
173,NJ,kfc,no,11,4.25,13.5,12.5,-1
174,NJ,roys,yes,17,4.25,28,38.5,10.5
175,NJ,roys,yes,17,4.5,21.5,20,-1.5
176,NJ,bk,no,16,4.5,24,32,8
177,NJ,bk,no,15,4.25,20.5,19,-1.5
178,NJ,bk,no,15,4.25,23.5,26.5,3
179,NJ,bk,yes,17,4.25,23,19,-4
180,NJ,bk,yes,15,4.25,17,20,3
181,NJ,bk,yes,16,4.25,20.5,22.5,2
182,NJ,kfc,no,10,4.25,23.5,10,-13.5
183,NJ,kfc,no,10,4.25,9.5,12.5,3
184,NJ,kfc,no,10,4.25,10,11,1
185,NJ,kfc,no,10,4.25,14,12.5,-1.5
186,NJ,roys,yes,24,4.75,85,59,-26
187,NJ,roys,no,15,4.75,15,19,4
188,NJ,roys,no,16,4.4,21.5,15.5,-6
189,NJ,wendys,no,11.5,4.62,53,19,-34
190,NJ,bk,no,16.5,4.25,24,26.5,2.5
191,NJ,bk,no,16,4.25,20.5,17.5,-3
192,NJ,bk,yes,14.5,4.25,14.5,20.5,6
193,NJ,bk,no,17,4.25,25,28,3
194,NJ,roys,no,16,4.25,27,30.25,3.25
195,NJ,bk,no,16,4.75,22.5,44,21.5
196,NJ,bk,no,17,4.75,36.5,17.5,-19
197,NJ,bk,no,13,4.25,17.25,31,13.75
198,NJ,bk,no,15,4.25,21.5,31,9.5
199,NJ,bk,no,16.5,4.75,24.5,28.5,4
200,NJ,bk,yes,16,4.5,19,19,0
201,NJ,bk,no,12.5,4.25,25,41,16
202,NJ,bk,no,15,4.25,16,28,12
203,NJ,kfc,no,12.5,4.5,19,9.5,-9.5
204,NJ,roys,yes,18,4.5,22.75,25,2.25
205,NJ,roys,yes,24,4.5,35,28,-7
206,NJ,roys,yes,17,4.75,16,16,0
207,NJ,roys,no,16,4.62,21,22.75,1.75
208,NJ,roys,yes,16,4.25,30.5,32,1.5
209,NJ,wendys,no,11.5,4.5,23,27.5,4.5
210,NJ,wendys,no,12.5,4.75,21.5,25.5,4
211,NJ,wendys,no,11.5,4.25,36.5,60.5,24
212,NJ,bk,no,16,4.8,23,20.5,-2.5
213,NJ,bk,no,16,4.5,14,16,2
214,NJ,bk,no,16,4.67,17.25,25,7.75
215,NJ,bk,no,15,4.87,18.5,13,-5.5
216,NJ,kfc,no,10,4.5,8.5,9,0.5
217,NJ,kfc,no,10.5,4.5,14,16.5,2.5
218,NJ,roys,yes,16.5,4.75,23,21,-2
219,NJ,wendys,no,11.5,4.75,29,21.5,-7.5
220,NJ,bk,no,15,4.25,19,20,1
221,NJ,bk,yes,16,4.25,21,21.25,0.25
222,NJ,bk,no,12.5,4.75,17,21.5,4.5
223,NJ,bk,no,17.5,4.85,36,31,-5
224,NJ,bk,no,16,4.75,25,33,8
225,NJ,bk,no,16,4.62,29.5,37.75,8.25
226,NJ,kfc,yes,10,4.25,22,9,-13
227,NJ,kfc,no,10.5,4.25,11,11,0
228,NJ,kfc,no,11,4.5,13.5,12.75,-0.75
229,NJ,kfc,no,11,4.5,13.5,10.5,-3
230,NJ,kfc,no,11,4.62,18,22,4
231,NJ,kfc,no,10.5,4.5,9.5,8,-1.5
232,NJ,roys,no,16,4.75,24,25,1
233,NJ,roys,no,15,4.75,14.5,12.5,-2
234,NJ,wendys,no,12,4.87,29,22.5,-6.5
235,NJ,wendys,no,11,4.5,10.5,11.5,1
236,NJ,wendys,no,11.5,4.25,18,23.5,5.5
237,NJ,kfc,no,10,4.35,9,16.5,7.5
238,NJ,bk,no,18,4.25,33,29,-4
239,NJ,bk,no,17,4.5,19.5,30,10.5
240,NJ,bk,no,19,4.25,41,22.5,-18.5
241,NJ,bk,no,17,4.25,17,24,7
242,NJ,bk,no,17.5,4.25,18.25,21.75,3.5
243,NJ,kfc,yes,12,4.75,17,13.5,-3.5
244,NJ,roys,yes,17,4.62,32,24,-8
245,NJ,roys,yes,18,4.25,26,28.5,2.5
246,NJ,wendys,yes,11.5,4.5,11.5,10,-1.5
247,NJ,bk,no,15,4.5,21,23.5,2.5
248,NJ,bk,no,16,4.5,22.75,30.5,7.75
249,NJ,bk,yes,17.5,4.55,18.5,24.75,6.25
250,NJ,bk,no,16,4.62,20,22.5,2.5
251,NJ,bk,no,16,4.5,18,28,10
252,NJ,kfc,no,10.5,4.25,10.5,14,3.5
253,NJ,kfc,yes,10,4.25,10.5,9,-1.5
254,NJ,kfc,yes,10,4.35,11,9.5,-1.5
255,NJ,kfc,yes,10,4.25,10.5,15.5,5
256,NJ,kfc,no,10,4.25,12.5,12,-0.5
257,NJ,kfc,no,11,4.6,18,11.5,-6.5
258,NJ,roys,yes,12.5,4.25,17,12.5,-4.5
259,NJ,roys,yes,16,4.75,15,16,1
260,NJ,roys,yes,17,4.75,19.5,28.5,9
261,NJ,wendys,no,11.5,4.25,13,15,2
262,NJ,wendys,no,12.5,4.5,20.25,23.5,3.25
263,NJ,bk,no,13.5,4.5,26,30.5,4.5
264,NJ,bk,no,17,4.25,15.5,26.5,11
265,NJ,bk,no,16,4.75,24,27,3
266,NJ,bk,no,16,4.65,25.5,21.5,-4
267,NJ,bk,no,16,4.25,21.5,21.5,0
268,NJ,kfc,yes,12,4.75,14,37.5,23.5
269,NJ,kfc,no,13.5,4.25,20,11.5,-8.5
270,NJ,roys,yes,16.5,4.5,22.5,21,-1.5
271,NJ,roys,yes,18,4.25,30,28,-2
272,NJ,wendys,no,15.5,4.5,24,24,0
273,NJ,wendys,no,16,4.75,22,23,1
274,NJ,bk,no,15,4.37,13,19,6
275,NJ,kfc,yes,10,4.5,5,7,2
276,NJ,roys,yes,13,4.87,13.5,14,0.5
277,NJ,bk,no,16,4.25,18,32,14
278,NJ,bk,yes,16,4.25,24,22,-2
279,NJ,bk,no,16.5,4.25,16.5,14.25,-2.25
280,NJ,bk,no,15,4.25,7,16.5,9.5
281,NJ,bk,no,16,4.25,11,0,-11
282,NJ,bk,no,16,4.25,19.5,47.5,28
283,NJ,kfc,yes,10,4.45,10,15.5,5.5
284,NJ,kfc,yes,10,4.62,13,10.5,-2.5
285,NJ,kfc,yes,11,4.25,10,7,-3
286,NJ,kfc,yes,10,4.25,12.5,11,-1.5
287,NJ,kfc,yes,10,4.25,8,8.5,0.5
288,NJ,roys,yes,16,4.25,12,0,-12
289,NJ,roys,yes,16,4.5,20.5,15,-5.5
290,NJ,roys,yes,16,4.75,18.5,13.5,-5
291,NJ,roys,yes,11.5,4.75,11.5,12.5,1
292,NJ,roys,yes,16,4.5,15,12.5,-2.5
293,NJ,roys,yes,16,4.75,13,12.5,-0.5
294,NJ,roys,yes,16,4.25,10,10,0
295,NJ,wendys,no,12.5,4.75,17,13.5,-3.5
296,NJ,wendys,no,11.5,4.55,17,16,-1
297,NJ,wendys,no,16,4.8,20.5,23.5,3
298,NJ,bk,yes,16,4.25,19.5,34,14.5
299,NJ,roys,yes,17,4.35,30.5,32.5,2
300,NJ,roys,no,17,4.5,23,21.5,-1.5
301,NJ,roys,yes,17,4.39,13,20,7
302,NJ,roys,yes,18,4.25,30.25,43.5,13.25
303,NJ,wendys,no,11.5,4.25,18,17.5,-0.5
304,NJ,bk,no,11,4.25,10,7,-3
305,NJ,bk,no,15,4.62,17,22,5
306,NJ,bk,yes,16,4.62,25.5,22,-3.5
307,NJ,bk,no,12,4.25,6,7,1
308,NJ,kfc,no,12,4.75,11.5,14,2.5
309,NJ,kfc,no,12.5,4.62,8.5,27,18.5
310,NJ,roys,yes,16,4.75,18.5,18.5,0
311,NJ,roys,yes,15,4.5,15.5,11.5,-4
312,NJ,bk,no,15,4.25,14.25,16,1.75
313,NJ,bk,no,15,4.5,38,25,-13
314,NJ,bk,yes,17,4.87,24.75,30.5,5.75
315,NJ,bk,yes,16,4.25,23,11.5,-11.5
316,NJ,bk,no,14.5,4.25,24,25.5,1.5
317,NJ,kfc,yes,9.5,4.62,7.5,9.5,2
318,NJ,kfc,yes,10.5,4.75,15,11.5,-3.5
319,NJ,kfc,yes,10,4.25,9.25,12,2.75
320,NJ,roys,yes,10.5,4.25,11.25,0,-11.25
321,NJ,roys,yes,16,4.75,16.5,17,0.5
322,NJ,roys,yes,16,4.25,18.75,24,5.25
323,NJ,wendys,no,11.5,4.87,13.5,13.5,0
324,NJ,bk,yes,15,4.25,15,17,2
325,NJ,bk,no,15,4.25,17.5,28,10.5
326,NJ,bk,no,16,4.25,17.5,21.5,4
327,NJ,kfc,no,12.5,4.25,15.5,19.5,4
328,NJ,kfc,no,12,4.25,16.5,20,3.5
329,NJ,roys,no,11.5,4.5,13.5,14.5,1
330,NJ,wendys,no,12.5,4.25,13,14.5,1.5
331,NJ,bk,yes,15,4.35,11.5,0,-11.5
332,NJ,bk,no,16,4.85,29.05,31.5,2.45
333,NJ,bk,no,14,4.5,13,11.5,-1.5
334,NJ,bk,no,14,4.25,18,20,2
335,NJ,bk,no,16,4.62,30,34,4
336,NJ,bk,no,16,4.5,20.5,25,4.5
337,NJ,bk,no,16,4.5,10,10,0
338,NJ,bk,no,17,4.25,26,25,-1
339,NJ,bk,no,17,4.25,12.5,23,10.5
340,NJ,kfc,no,10,4.25,19.5,17.5,-2
341,NJ,kfc,yes,11,4.62,12,23,11
342,NJ,roys,yes,17,4.87,36,26,-10
343,NJ,roys,yes,17,4.25,21,16.5,-4.5
344,NJ,roys,yes,17,4.75,24.5,35.5,11
345,NJ,roys,yes,17,4.87,20,31,11
346,NJ,roys,yes,17,4.5,26.5,23,-3.5
347,NJ,roys,no,16,4.25,15,22.5,7.5
348,NJ,roys,yes,16,4.75,19,21.5,2.5
349,NJ,roys,yes,17,4.32,17.5,12,-5.5
350,NJ,bk,no,16,4.25,20.5,20.5,0
351,NJ,bk,no,16,4.5,21,25,4
352,NJ,kfc,no,11,4.5,10.5,8.5,-2
353,NJ,bk,no,17,4.25,23,13,-10
354,NJ,bk,no,16,4.25,23,21.5,-1.5
355,NJ,bk,no,16,4.25,29,23,-6
356,NJ,bk,yes,16,4.25,21,25.5,4.5
357,NJ,bk,no,15,4.25,41.5,21.5,-20
358,NJ,kfc,yes,11,4.25,12,9.5,-2.5
359,NJ,kfc,yes,13,4.62,33,36.5,3.5
360,NJ,kfc,no,11,4.75,6.5,16,9.5
361,NJ,kfc,yes,12,4.95,9,23.75,14.75
362,NJ,kfc,yes,11,4.75,9.75,17.5,7.75
363,NJ,roys,yes,19,4.25,24.5,20.5,-4
364,NJ,wendys,no,12.5,4.75,14,20.5,6.5
365,NJ,wendys,no,12.5,4.62,19.5,25,5.5
